| Dirname | Basename | Extension | Filename | Size | Modified |
| img | android-chrome-192x192.png | png | android-chrome-192x192 | 7332 | 29/01/23 16:06:32 |
| img | android-chrome-512x512.png | png | android-chrome-512x512 | 13589 | 29/01/23 16:06:32 |
| img | apple-touch-icon.png | png | apple-touch-icon | 7282 | 29/01/23 16:06:32 |
| img | digital.svg | svg | digital | 3890 | 29/01/23 19:56:12 |
| img | favicon-16x16.png | png | favicon-16x16 | 417 | 29/01/23 16:06:32 |
| img | favicon-32x32.png | png | favicon-32x32 | 871 | 29/01/23 16:06:32 |
